"","pitcher","player_name","Season","Pitches","Whiff","xWhiff","In_Whiff","OOZ.Pitches","OOZ.Swing","OOZ.xSwing","OOZ","IZ.Pitches","IZ.Swing","IZ.xSwing","IZ","Score"
"2662",621199,"Matt Bowman",2017,975,0.09744,0.09452,0.00164900843742741,376,0.37234,0.32057,0.0526842756840323,434,0.62903,0.63183,-0.0106631237977431,0.0649964079192028
"2663",621199,"Matt Bowman",2018,439,0.07745,0.10389,-0.0224197768723935,137,0.30657,0.27935,0.0147645151443159,213,0.6338,0.65532,-0.016568725530827,0.00891346380274934
"2664",621199,"Matt Bowman",2019,549,0.08197,0.1008,-0.0150218060728685,165,0.33333,0.3189,0.0172049817378135,268,0.6194,0.63943,-0.020083713186526,0.022266888851471
"2665",621209,"Jon Moscot",2015,184,0.04891,0.09459,-0.0244235885931652,63,0.4127,0.32959,0.028188076244655,79,0.56962,0.60395,-0.0106187578512967,0.0143832455027865
"2666",621209,"Jon Moscot",2016,415,0.04096,0.11712,-0.0533811522468887,132,0.2197,0.25206,-0.0143098324076598,192,0.61979,0.64258,-0.0128689899646604,-0.0548219946898881
"2667",621219,"Alec Mills",2018,292,0.11301,0.11395,-0.00510195221665642,81,0.30864,0.33545,-0.000356807239926383,149,0.57718,0.6354,-0.0359330393402486,0.0304742798836658
"2668",621219,"Alec Mills",2019,553,0.12297,0.11256,0.00492676811240427,177,0.37288,0.36013,0.0288405127652141,246,0.67886,0.6338,0.0231978995256717,0.0105693813519467
"2669",621237,"Jose Alvarado",2017,462,0.11255,0.09121,0.0158017018425899,201,0.25373,0.25649,0.00819263046453783,234,0.61538,0.6518,-0.0243190673597258,0.0483133996668536
"2670",621237,"Jose Alvarado",2018,1036,0.13127,0.09014,0.0355194899235745,424,0.25943,0.26391,0.00788714820048515,519,0.57225,0.65696,-0.0711574988560854,0.114564136980145
"2671",621237,"Jose Alvarado",2019,586,0.12116,0.07392,0.0331275697084155,237,0.21519,0.23683,-0.00695814535007678,255,0.61176,0.64443,-0.0226132867880517,0.0487827111463904
"2672",621242,"Edwin Diaz",2016,831,0.18532,0.09612,0.0737303812368809,230,0.23478,0.24391,-0.0112525076654212,441,0.69388,0.66086,0.0240084784790974,0.0384693950923622
"2673",621242,"Edwin Diaz",2017,1127,0.1606,0.10588,0.0474806347265979,338,0.30473,0.30049,0.0141329697888598,543,0.67956,0.6722,-0.00153008603583263,0.0631436905512903
"2674",621242,"Edwin Diaz",2018,1171,0.18873,0.11076,0.066829725999178,355,0.32958,0.3215,0.0163037493067507,578,0.70934,0.67731,0.0152008659644494,0.0679326093414793
"2675",621242,"Edwin Diaz",2019,1071,0.18114,0.10607,0.0607952721614429,327,0.33945,0.3032,0.0309596948729505,521,0.71593,0.67283,0.0145279342602302,0.0772270327741632
"2676",621244,"Jose Berrios",2016,1101,0.08447,0.09624,-0.0132500838432109,454,0.27093,0.29166,-0.0280461110745308,475,0.65263,0.64302,-0.00258184325163667,-0.038714351666105
