"Name","Team","K%","BB%","SwStr%","playerid"
"Brendan McKay","Rays","25.9 %","7.4 %","10.8 %","20186"
"Cal Quantrill","Padres","20.1 %","6.3 %","9.9 %","19312"
"Steven Brault","Pirates","19.8 %","10.5 %","9.9 %","15291"
"Chris Archer","Pirates","27.2 %","10.5 %","12.9 %","6345"
"Carlos Rodon","White Sox","29.1 %","10.8 %","12.1 %","16137"
"Jose Urena","Marlins","16.8 %","7.1 %","9.8 %","11589"
"Logan Webb","Giants","21.3 %","8.1 %","8.9 %","17995"
"Jakob Junis","Royals","21.3 %","7.5 %","9.8 %","13619"
"Lou Trivino","Athletics","21.2 %","11.5 %","12.5 %","15043"
"Chi Chi Gonzalez","Rockies","16.6 %","11.9 %","8.4 %","14663"
"Carlos Carrasco","Indians","28.2 %","4.7 %","14.9 %","6632"
"Freddy Peralta","Brewers","30.1 %","9.7 %","13.0 %","18679"
"Taylor Clarke","Diamondbacks","18.4 %","8.1 %","9.9 %","17611"
"Paul Fry","Orioles","21.6 %","11.4 %","10.1 %","15832"
"Elvis Luciano","Blue Jays","17.0 %","15.1 %","10.2 %","20632"
"Robbie Erlin","Padres","20.7 %","6.0 %","10.2 %","10354"
"Richard Bleier","Orioles","12.8 %","3.4 %","8.1 %","7803"
"Dillon Peters","Angels","16.8 %","8.0 %","9.1 %","18790"
"Bryan Shaw","Rockies","18.7 %","9.3 %","10.6 %","8110"
"Trevor Williams","Pirates","17.8 %","6.9 %","10.4 %","16977"
"Reynaldo Lopez","White Sox","20.9 %","8.0 %","11.0 %","16400"
"Nick Pivetta","Phillies","21.1 %","9.3 %","10.1 %","15454"
"Hector Velazquez","Red Sox","19.9 %","11.4 %","9.8 %","19341"
"Shaun Anderson","Giants","16.4 %","8.9 %","9.1 %","19453"
"Wes Parsons","- - -","16.6 %","18.5 %","8.6 %","14764"
"Yusei Kikuchi","Mariners","16.1 %","6.9 %","8.8 %","20633"
"Brad Brach","- - -","24.8 %","12.8 %","11.9 %","6627"
"Joe Ross","Nationals","19.3 %","11.2 %","10.5 %","12972"
"Justus Sheffield","Mariners","22.0 %","10.7 %","12.9 %","17285"
"Rick Porcello","Red Sox","18.6 %","5.9 %","8.0 %","2717"
"Dominic Leone","Cardinals","25.6 %","12.2 %","14.4 %","13763"
"Justin Anderson","Angels","27.7 %","14.8 %","12.3 %","16201"
"Yency Almonte","Rockies","18.5 %","8.9 %","10.7 %","15068"
"Chris Stratton","- - -","20.1 %","9.6 %","10.6 %","13761"
"Clay Holmes","Pirates","23.3 %","15.0 %","9.4 %","13649"
"Edwin Diaz","Mets","39.0 %","8.7 %","18.0 %","14710"
"Matt Wisler","- - -","28.1 %","7.1 %","14.9 %","12804"
"Gabriel Ynoa","Orioles","14.0 %","5.4 %","9.2 %","12938"
"Kyle Barraclough","- - -","24.4 %","12.8 %","12.9 %","13713"
"Touki Toussaint","Braves","22.7 %","13.1 %","11.9 %","16929"
"Jose Ruiz","White Sox","17.7 %","12.1 %","10.5 %","14552"
"Dereck Rodriguez","Giants","16.2 %","8.2 %","8.3 %","14509"
"Aaron Brooks","- - -","17.0 %","7.1 %","8.2 %","12272"
"Trey Wingenter","Padres","33.0 %","12.8 %","15.5 %","17793"
"Fernando Rodney","- - -","23.3 %","13.3 %","11.0 %","494"
"Nestor Cortes","Yankees","23.2 %","9.4 %","10.5 %","17874"
"Wandy Peralta","- - -","18.6 %","9.3 %","14.9 %","14295"
"Jeurys Familia","Mets","23.0 %","15.3 %","10.7 %","5114"
