"","pitcher","player_name","Season","Pitches","Whiff","xWhiff","In_Whiff","OOZ.Pitches","OOZ.Swing","OOZ.xSwing","OOZ","IZ.Pitches","IZ.Swing","IZ.xSwing","IZ","Score","command"
"1060",607259,"Nick Martinez",2015,2193,0.07205,0.10257,-0.0208385256283509,897,0.35897,0.26568,0.0719836229525635,961,0.60666,0.63416,-0.021629548071142,0.0727746453953547,2.916
"1061",607259,"Nick Martinez",2017,1794,0.0641,0.09086,-0.022115379906313,641,0.31981,0.29111,0.0326241053383962,876,0.63356,0.63112,-0.0106193230448857,0.0211280484769689,2.896
"1062",607352,"Joe Biagini",2016,1137,0.11609,0.105,0.0114207088039433,327,0.39144,0.28318,0.0791801722488772,528,0.64394,0.62022,0.0134046659049999,0.0771962151478205,3.02
"1063",607352,"Joe Biagini",2017,1904,0.08246,0.10394,-0.0233446661909471,578,0.34775,0.30987,0.0303973877818955,943,0.65111,0.65267,-0.00969611585485428,0.0167488374458027,3.052
"1064",607352,"Joe Biagini",2018,1260,0.08968,0.08952,0.00149524311624726,403,0.34491,0.298,0.044291810644903,595,0.65714,0.63252,0.00876240203080416,0.0370246517303461,2.905
"1065",607374,"Nick Tropeano",2016,1144,0.12325,0.109,0.0102641260528047,314,0.23567,0.28067,-0.0341602054990006,519,0.65703,0.66061,-0.00466542772807824,-0.0192306517181177,2.988
"1066",607374,"Nick Tropeano",2018,1168,0.11729,0.11092,0.0033269309492886,360,0.25,0.28203,-0.0233885891495097,517,0.66925,0.66586,-0.0110089092082506,-0.00905274899197054,3.003
"1067",607457,"Kyle Barraclough",2016,1337,0.13912,0.10576,0.0298851392328054,393,0.15776,0.25233,-0.0832641264240364,637,0.57771,0.65821,-0.0720540276970114,0.0186750405057804,2.864
"1068",607457,"Kyle Barraclough",2017,1200,0.12333,0.10942,0.0140520164050389,319,0.16614,0.25669,-0.0582839305036156,571,0.63047,0.6454,-0.0218071874613125,-0.0224247266372642,2.933
"1069",607481,"Aaron Bummer",2019,1094,0.11152,0.07119,0.0320621806201726,427,0.25293,0.2481,0.0175627151456639,564,0.66135,0.65019,-0.0028013337862726,0.052426229552109,2.533
"1070",607536,"Kyle Freeland",2017,2542,0.07435,0.09784,-0.0241257981859061,918,0.2342,0.27097,-0.0211389931351538,1220,0.68443,0.63425,0.0344226956279684,-0.0796874869490283,2.889
"1071",607536,"Kyle Freeland",2018,3240,0.09012,0.10825,-0.0187100174913546,1290,0.2814,0.31289,-0.0132126848314555,1478,0.66171,0.64617,0.00982596238761156,-0.0417486647104217,3.113
"1072",607536,"Kyle Freeland",2019,1731,0.09532,0.1113,-0.0181840239960196,708,0.32203,0.30104,0.0266346042335249,777,0.68468,0.6359,0.0283801160361984,-0.0199295357986931,3.117
