pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
1264,543135,Nathan Eovaldi,1264,100,0.276,0.234,0.316,0.51,0.371,0.332,0.24,72,261,85,16.9,2138,91.9,91.49,146,555,705,-0.4,6,110,152,117,150,285,321,293
1256,656546,Jeff Hoffman,1256,100,0.283,0.305,0.303,0.588,0.396,0.379,0.281,77,272,83.9,19,2386,87.7,87.56,126,580,667,-0.1,6.04,115,151,114,148,308,337,310
1255,623381,Thomas Pannone,1255,100,0.255,0.199,0.291,0.455,0.338,0.348,0.255,73,286,82.9,23.3,2219,85.1,84.58,149,588,660,-0.5,6.04,108,152,118,148,306,326,296
1254,592426,Luke Jackson,1254,100,0.266,0.136,0.388,0.402,0.314,0.268,0.209,76,286,83.1,4.5,2477,90.5,90.76,225,612,639,0.3,6.3,108,149,112,149,304,326,297
1251,489334,Craig Stammen,1251,100,0.251,0.182,0.284,0.433,0.302,0.281,0.239,80,319,83.7,5.7,2219,90.5,90.91,123,567,681,0.4,6.46,115,152,115,149,304,328,306
1244,519443,Brandon Workman,1244,100,0.123,0.043,0.211,0.166,0.209,0.255,0.173,29,235,82.1,11.1,2367,86,87.04,169,485,757,1,6.89,111,150,117,148,286,322,292
1240,608032,Carlos Estevez,1240,100,0.25,0.2,0.305,0.45,0.319,0.303,0.24,70,280,84.6,21.9,2264,94.8,94.86,189,616,621,0.1,6.03,114,152,119,148,309,335,308
1233,659275,Dinelson Lamet,1233,100,0.226,0.182,0.314,0.409,0.312,0.296,0.217,62,274,82.9,18.9,2516,91.4,90.37,181,568,652,-1,5.66,116,151,114,150,302,326,304
1232,612434,Miguel Castro,1232,100,0.232,0.154,0.269,0.386,0.306,0.294,0.216,63,272,82.5,11,2480,92.5,92.15,151,544,687,-0.3,6.13,106,151,117,145,301,325,296
1225,621142,Ty Buttrey,1225,100,0.247,0.129,0.323,0.376,0.301,0.309,0.249,69,279,83.6,18.3,2072,91.9,90.82,154,568,649,-1.1,5.65,114,151,114,148,294,317,292
